id,title,year,director,dateWatched,notes,imageUrl
1,Native Life in the Philippines,1939,Unknown,01/01/2024,Very interesting movie,https://example.com/image1.jpg
2,Ang Tanging Ina,2003,Marvin Agustin,02/01/2024,Description not available,https://example.com/image2.jpg
3,Batang West Side,2001,Peque Gallaga,03/01/2024,Description not available,https://example.com/image3.jpg
4,Headhunter's Daughter,2018,Unknown,04/01/2024,Description not available,https://example.com/image4.jpg
5,Anak Dalita,1956,Lino Brocka,05/01/2024,Description not available,https://example.com/image5.jpg
6,Genghis Khan,1950,Unknown,06/01/2024,Description not available,https://example.com/image6.jpg
7,Maynila sa mga Kuko ng Liwanag,1975,Lino Brocka,07/01/2024,Description not available,https://example.com/image7.jpg
8,Kisapmata,1981,Peque Gallaga,08/01/2024,Description not available,https://example.com/image8.jpg
9,Himala,1982,Nora Aunor,09/01/2024,Description not available,https://example.com/image9.jpg
10,Oro Plata Mata,1982,Peque Gallaga,10/01/2024,Description not available,https://example.com/image10.jpg
11,Sine50,2023,Various,11/01/2024,Description not available,https://example.com/image11.jpg
12,Filipiñana,2019,Unknown,12/01/2024,Description not available,https://example.com/image12.jpg
13,Agapito,2008,Unknown,13/01/2024,Description not available,https://example.com/image13.jpg
14,It's Raining Frogs Outside,2005,Unknown,14/01/2024,Description not available,https://example.com/image14.jpg
15,Juan Gapang,2008,Unknown,15/01/2024,Description not available,https://example.com/image15.jpg
16,ABCD,2019,Unknown,16/01/2024,Description not available,https://example.com/image16.jpg
17,Oliver,2018,Unknown,17/01/2024,Description not available,https://example.com/image17.jpg
18,Mababangong Bangungot,1997,Unknown,18/01/2024,Description not available,https://example.com/image18.jpg
19,Cinemalaya,2005,Various,19/01/2024,Description not available,https://example.com/image19.jpg
20,1st Submission: RESPONSE 1 (Creative or Critical),2023,Unknown,20/01/2024,Description not available,https://example.com/image20.jpg
21,Aguila,1980,Unknown,21/01/2024,Description not available,https://example.com/image21.jpg
22,Pieta,2016,Brillante Mendoza,22/01/2024,Description not available,https://example.com/image22.jpg
23,Manila By Night,1980,Ismael Bernal,23/01/2024,Description not available,https://example.com/image23.jpg
24,Kinatay,2009,Brillante Mendoza,24/01/2024,Description not available,https://example.com/image24.jpg
25,Merika,1994,Nick Deocampo,25/01/2024,Description not available,https://example.com/image25.jpg
26,Astri Maka si Tambulah,2008,Unknown,26/01/2024,Description not available,https://example.com/image26.jpg
27,Sanctissima,2019,Unknown,27/01/2024,Description not available,https://example.com/image27.jpg
28,Hondo,1976,Unknown,28/01/2024,Description not available,https://example.com/image28.jpg
29,Lola Loleng,2009,Unknown,29/01/2024,Description not available,https://example.com/image29.jpg
30,Baguio Address No. 10,2009,Unknown,30/01/2024,Description not available,https://example.com/image30.jpg
31,Women of the Weeping River,2018,Unknown,31/01/2024,Description not available,https://example.com/image31.jpg
32,Bayaning Third World,1999,Mark Meily,01/02/2024,Description not available,https://example.com/image32.jpg
